second,Volt,Volt
-20.33125E-09,+236.58308386803E-03,-91.73878282309E-03
-20.25313E-09,+236.58308386803E-03,-91.73878282309E-03
-20.17500E-09,+236.58308386803E-03,-91.73878282309E-03
-20.09688E-09,+236.58308386803E-03,-91.73878282309E-03
-20.01875E-09,+236.58308386803E-03,-91.73878282309E-03
-19.94063E-09,+236.58308386803E-03,-95.55787825956E-03
-19.86250E-09,+236.58308386803E-03,-96.76390839741E-03
-19.78438E-09,+232.76398843155E-03,-96.76390839741E-03
-19.70625E-09,+231.55795829371E-03,-96.76390839741E-03
-19.62813E-09,+231.55795829371E-03,-96.76390839741E-03
-19.55000E-09,+231.55795829371E-03,-96.76390839741E-03
-19.47188E-09,+231.55795829371E-03,-96.76390839741E-03
-19.39375E-09,+231.55795829371E-03,-96.76390839741E-03
-19.31563E-09,+231.55795829371E-03,-96.76390839741E-03
-19.23750E-09,+231.55795829371E-03,-96.76390839741E-03
-19.15938E-09,+235.37705373018E-03,-92.94481296093E-03
-19.08125E-09,+236.58308386803E-03,-91.73878282309E-03
-19.00313E-09,+240.40217930451E-03,-91.73878282309E-03
-18.92500E-09,+241.60820944235E-03,-91.73878282309E-03
-18.84688E-09,+241.60820944235E-03,-91.73878282309E-03
-18.76875E-09,+237.78911400587E-03,-91.73878282309E-03
-18.69063E-09,+232.76398843155E-03,-91.73878282309E-03
-18.61250E-09,+223.91976742075E-03,-95.55787825956E-03
-18.53438E-09,+213.86951627211E-03,-96.76390839741E-03
-18.45625E-09,+196.18107425051E-03,-96.76390839741E-03
-18.37813E-09,+179.89966738971E-03,-96.76390839741E-03
-18.30000E-09,+168.64338610323E-03,-96.76390839741E-03
-18.22188E-09,+154.77403951811E-03,-96.76390839741E-03
-18.14375E-09,+147.33685366810E-03,-96.76390839741E-03
-18.06563E-09,+142.31172809378E-03,-96.76390839741E-03
-17.98750E-09,+141.10569795594E-03,-92.94481296093E-03
-17.90938E-09,+144.92479339241E-03,-91.73878282309E-03
-17.83125E-09,+153.76901440321E-03,-91.73878282309E-03
-17.75313E-09,+163.81926555185E-03,-91.73878282309E-03
-17.67500E-09,+177.68861213697E-03,-91.73878282309E-03
-17.59688E-09,+192.76398885993E-03,-91.73878282309E-03
-17.51875E-09,+207.83936558289E-03,-95.55787825956E-03
-17.44063E-09,+219.09564686938E-03,-100.58300383388E-03
-17.36250E-09,+229.14589801802E-03,-101.78903397173E-03
-17.28438E-09,+235.37705373018E-03,-105.60812940820E-03
-17.20625E-09,+240.40217930450E-03,-106.81415954605E-03
-17.12813E-09,+241.60820944235E-03,-106.81415954605E-03
-17.05000E-09,+241.60820944235E-03,-102.99506410957E-03
-16.97188E-09,+237.78911400587E-03,-97.96993853525E-03
-16.89375E-09,+236.58308386803E-03,-92.94481296093E-03
-16.81563E-09,+232.76398843155E-03,-84.10059195013E-03
-16.73750E-09,+231.55795829371E-03,-74.05034080149E-03
-16.65938E-09,+231.55795829371E-03,-64.00008965285E-03
-16.58125E-09,+231.55795829371E-03,-50.13074306773E-03
-16.50313E-09,+231.55795829371E-03,-46.51265265420E-03
-16.42500E-09,+231.55795829371E-03,-42.69355721772E-03
-16.34688E-09,+231.55795829371E-03,-41.48752707988E-03
-16.26875E-09,+231.55795829371E-03,-45.30662251636E-03
-16.19063E-09,+235.37705373018E-03,-46.51265265420E-03
-16.11250E-09,+236.58308386803E-03,-57.96993896363E-03
-16.03438E-09,+236.58308386803E-03,-69.22622025011E-03
-15.95625E-09,+236.58308386803E-03,-79.27647139876E-03
-15.87813E-09,+236.58308386803E-03,-89.32672254740E-03
-15.80000E-09,+236.58308386803E-03,-95.55787825956E-03
-15.72188E-09,+232.76398843155E-03,-100.58300383388E-03
-15.64375E-09,+231.55795829371E-03,-105.60812940820E-03
-15.56563E-09,+231.55795829371E-03,-106.81415954605E-03
-15.48750E-09,+231.55795829371E-03,-106.81415954605E-03
-15.40938E-09,+231.55795829371E-03,-106.81415954605E-03
-15.33125E-09,+231.55795829371E-03,-102.99506410957E-03
-15.25313E-09,+231.55795829371E-03,-97.96993853525E-03
-15.17500E-09,+231.55795829371E-03,-92.94481296093E-03
-15.09688E-09,+231.55795829371E-03,-91.73878282309E-03
-15.01875E-09,+235.37705373018E-03,-87.91968738661E-03
-14.94063E-09,+236.58308386803E-03,-86.71365724877E-03
-14.86250E-09,+236.58308386803E-03,-90.53275268524E-03
-14.78438E-09,+236.58308386803E-03,-91.73878282309E-03
-14.70625E-09,+236.58308386803E-03,-91.73878282309E-03
-14.62813E-09,+236.58308386803E-03,-95.55787825956E-03
-14.55000E-09,+236.58308386803E-03,-100.58300383388E-03
-14.47188E-09,+232.76398843155E-03,-101.78903397173E-03
-14.39375E-09,+227.73886285723E-03,-101.78903397173E-03
-14.31563E-09,+226.53283271939E-03,-101.78903397173E-03
-14.23750E-09,+226.53283271939E-03,-101.78903397173E-03
-14.15938E-09,+226.53283271939E-03,-101.78903397173E-03
-14.08125E-09,+226.53283271939E-03,-94.15084309878E-03
-14.00313E-09,+226.53283271939E-03,-87.91968738661E-03
-13.92500E-09,+234.17102359234E-03,-79.07546637581E-03
-13.84688E-09,+240.40217930450E-03,-65.20611979070E-03
-13.76875E-09,+249.24640031530E-03,-53.94983850421E-03
-13.69063E-09,+263.11574690041E-03,-43.89958735557E-03
-13.61250E-09,+274.37202818690E-03,-33.84933620693E-03
-13.53438E-09,+284.42227933554E-03,-23.79908505829E-03
-13.45625E-09,+294.47253048418E-03,-17.56792934612E-03
-13.37813E-09,+304.52278163282E-03,-8.72370833533E-03
-13.30000E-09,+310.75393734499E-03,-6.31164805964E-03
-13.22188E-09,+315.77906291931E-03,-6.31164805964E-03
-13.14375E-09,+316.98509305716E-03,-6.31164805964E-03
-13.06563E-09,+316.98509305716E-03,-10.13074349611E-03
-12.98750E-09,+316.98509305716E-03,-15.15586907043E-03
-12.90938E-09,+316.98509305716E-03,-16.36189920828E-03
-12.83125E-09,+316.98509305716E-03,-16.36189920828E-03
-12.75313E-09,+316.98509305716E-03,-16.36189920828E-03
-12.67500E-09,+316.98509305716E-03,-16.36189920828E-03
-12.59688E-09,+316.98509305716E-03,-16.36189920828E-03
-12.51875E-09,+316.98509305716E-03,-16.36189920828E-03
-12.44063E-09,+316.98509305716E-03,-16.36189920828E-03
-12.36250E-09,+313.16599762068E-03,-12.54280377180E-03
-12.28438E-09,+308.14087204636E-03,-11.33677363396E-03
-12.20625E-09,+299.29665103557E-03,-11.33677363396E-03
-12.12813E-09,+289.24639988693E-03,-11.33677363396E-03
-12.05000E-09,+279.19614873829E-03,-11.33677363396E-03
-11.97188E-09,+269.14589758965E-03,-15.15586907043E-03
-11.89375E-09,+255.27655100453E-03,-16.36189920828E-03
-11.81563E-09,+244.02026971804E-03,-16.36189920828E-03
-11.73750E-09,+237.78911400587E-03,-16.36189920828E-03
-11.65938E-09,+228.94489299508E-03,-16.36189920828E-03
-11.58125E-09,+226.53283271939E-03,-16.36189920828E-03
-11.50313E-09,+226.53283271939E-03,-16.36189920828E-03
-11.42500E-09,+226.53283271939E-03,-16.36189920828E-03
-11.34688E-09,+226.53283271939E-03,-12.54280377180E-03
-11.26875E-09,+226.53283271939E-03,-7.51767819748E-03
-11.19063E-09,+230.35192815586E-03,-6.31164805964E-03
-11.11250E-09,+235.37705373018E-03,-6.31164805964E-03
-11.03438E-09,+236.58308386803E-03,-6.31164805964E-03
-10.95625E-09,+236.58308386803E-03,-10.13074349611E-03
-10.87813E-09,+236.58308386803E-03,-18.97496450690E-03
-10.80000E-09,+236.58308386803E-03,-25.20612021907E-03
-10.72188E-09,+236.58308386803E-03,-37.86943666634E-03
-10.64375E-09,+236.58308386803E-03,-49.12571795283E-03
-10.56563E-09,+232.76398843155E-03,-59.17596910147E-03
-10.48750E-09,+231.55795829371E-03,-73.04531568658E-03
-10.40938E-09,+231.55795829371E-03,-80.48250153660E-03
-10.33125E-09,+231.55795829371E-03,-89.32672254739E-03
-10.25313E-09,+231.55795829371E-03,-95.55787825956E-03
-10.17500E-09,+231.55795829371E-03,-100.58300383388E-03
-10.09688E-09,+231.55795829371E-03,-101.78903397173E-03
-10.01875E-09,+231.55795829371E-03,-101.78903397173E-03
-9.94063E-09,+231.55795829371E-03,-101.78903397173E-03
-9.86250E-09,+235.37705373018E-03,-97.96993853525E-03
-9.78438E-09,+236.58308386803E-03,-96.76390839741E-03
-9.70625E-09,+236.58308386803E-03,-96.76390839741E-03
-9.62813E-09,+236.58308386803E-03,-92.94481296093E-03
-9.55000E-09,+236.58308386803E-03,-91.73878282309E-03
-9.47188E-09,+236.58308386803E-03,-91.73878282309E-03
-9.39375E-09,+232.76398843155E-03,-91.73878282309E-03
-9.31563E-09,+231.55795829371E-03,-91.73878282309E-03
-9.23750E-09,+231.55795829371E-03,-91.73878282309E-03
-9.15938E-09,+231.55795829371E-03,-91.73878282309E-03
-9.08125E-09,+231.55795829371E-03,-91.73878282309E-03
-9.00313E-09,+235.37705373018E-03,-91.73878282309E-03
-8.92500E-09,+236.58308386803E-03,-91.73878282309E-03
-8.84688E-09,+236.58308386803E-03,-91.73878282309E-03
-8.76875E-09,+236.58308386803E-03,-91.73878282309E-03
-8.69063E-09,+236.58308386803E-03,-91.73878282309E-03
-8.61250E-09,+236.58308386803E-03,-95.55787825956E-03
-8.53438E-09,+236.58308386803E-03,-96.76390839741E-03
-8.45625E-09,+236.58308386803E-03,-100.58300383388E-03
-8.37813E-09,+236.58308386803E-03,-101.78903397173E-03
-8.30000E-09,+232.76398843156E-03,-101.78903397173E-03
-8.22188E-09,+231.55795829371E-03,-101.78903397173E-03
-8.14375E-09,+231.55795829371E-03,-101.78903397173E-03
-8.06563E-09,+231.55795829371E-03,-97.96993853526E-03
-7.98750E-09,+231.55795829371E-03,-89.12571752446E-03
-7.90938E-09,+231.55795829371E-03,-79.07546637582E-03
-7.83125E-09,+231.55795829371E-03,-65.20611979071E-03
-7.75313E-09,+231.55795829371E-03,-50.13074306775E-03
-7.67500E-09,+231.55795829371E-03,-35.05536634479E-03
-7.59688E-09,+231.55795829371E-03,-23.79908505830E-03
-7.51875E-09,+235.37705373018E-03,-13.74883390966E-03
-7.44063E-09,+236.58308386803E-03,-7.51767819749E-03
-7.36250E-09,+236.58308386803E-03,-6.31164805964E-03
-7.28438E-09,+236.58308386803E-03,-10.13074349611E-03
-7.20625E-09,+236.58308386803E-03,-15.15586907043E-03
-7.12813E-09,+236.58308386803E-03,-24.00009008122E-03
-7.05000E-09,+236.58308386803E-03,-37.86943666633E-03
-6.97188E-09,+232.76398843156E-03,-52.94481338929E-03
-6.89375E-09,+231.55795829371E-03,-68.02019011225E-03
-6.81563E-09,+231.55795829371E-03,-83.09556683522E-03
