time,I(L1)
2.764229910714255e-005,5.878972e-001
2.798828124999968e-005,5.947705e-001
2.808314732142825e-005,5.966196e-001
2.817801339285681e-005,5.984463e-001
2.827287946428538e-005,6.002507e-001
2.836774553571395e-005,6.020328e-001
2.846261160714252e-005,6.037926e-001
2.855747767857109e-005,6.055301e-001
2.865234374999965e-005,6.072452e-001
2.876953124999965e-005,6.092907e-001
2.884765624999965e-005,6.105996e-001
2.888671874999964e-005,6.112286e-001
2.892578124999964e-005,6.118288e-001
2.896484374999964e-005,6.123806e-001
2.898371582465824e-005,6.059093e-001
2.899378906696700e-005,5.864068e-001
2.899870847952426e-005,5.621193e-001
2.900360684348867e-005,5.251322e-001
2.900997414361941e-005,4.732493e-001
2.901723895041075e-005,4.231675e-001
2.902199621064199e-005,4.001523e-001
2.902270484140119e-005,3.981363e-001
2.902412210291960e-005,3.956053e-001
2.902447641829921e-005,3.951137e-001
2.902518504905841e-005,3.944521e-001
2.902660231057682e-005,3.935367e-001
2.902695662595642e-005,3.934131e-001
2.902766525671563e-005,3.933154e-001
2.902784241440543e-005,3.933042e-001
2.902788670382788e-005,3.933037e-001
2.902797528267278e-005,3.933033e-001
2.902799742738401e-005,3.933033e-001
2.902804171680646e-005,3.933035e-001
2.902813029565136e-005,3.933040e-001
2.902830745334116e-005,3.933052e-001
2.902866176872077e-005,3.933083e-001
2.902937039947997e-005,3.933151e-001
2.903078766099838e-005,3.933305e-001
2.903362218403520e-005,3.933643e-001
2.903929123010884e-005,3.934382e-001
2.905062932225613e-005,3.935980e-001
2.907330550655070e-005,3.939409e-001
2.911236800655069e-005,3.945660e-001
2.915143050655069e-005,3.952185e-001
2.919049300655069e-005,3.958918e-001
2.926861800655069e-005,3.972801e-001
2.934674300655068e-005,3.987164e-001
2.942486800655068e-005,4.001702e-001
2.950299300655068e-005,4.016414e-001
2.958111800655068e-005,4.031302e-001
2.965924300655067e-005,4.046364e-001
2.973736800655067e-005,4.061600e-001
2.981549300655067e-005,4.077012e-001
3.010009122083637e-005,4.134065e-001
3.038468943512207e-005,4.191585e-001
3.066928764940777e-005,4.249569e-001
3.095388586369348e-005,4.308020e-001
3.123848407797918e-005,4.366936e-001
3.152308229226488e-005,4.426317e-001
3.180768050655059e-005,4.486164e-001
3.214808229226486e-005,4.557736e-001
3.248848407797913e-005,4.629252e-001
3.282888586369340e-005,4.700713e-001
3.316928764940768e-005,4.772118e-001
3.350968943512195e-005,4.843468e-001
3.385009122083622e-005,4.914762e-001
3.419049300655049e-005,4.986000e-001
3.430768050655049e-005,5.010412e-001
3.460901979226476e-005,5.073180e-001
3.491035907797903e-005,5.135527e-001
3.521169836369330e-005,5.197454e-001
3.551303764940758e-005,5.258960e-001
3.581437693512186e-005,5.320046e-001
3.611571622083613e-005,5.380712e-001
3.641705550655040e-005,5.440957e-001
3.657330550655039e-005,5.471918e-001
3.672955550655039e-005,5.502566e-001
3.688580550655038e-005,5.532901e-001
3.704205550655037e-005,5.562923e-001
3.719830550655037e-005,5.592632e-001
3.735455550655036e-005,5.622029e-001
3.751080550655036e-005,5.651112e-001
3.754986800655035e-005,5.658267e-001
3.761125193512178e-005,5.669490e-001
3.767263586369320e-005,5.680561e-001
3.773401979226463e-005,5.691481e-001
3.779540372083606e-005,5.702249e-001
3.785678764940749e-005,5.712866e-001
3.791817157797891e-005,5.723331e-001
3.797955550655034e-005,5.733645e-001
3.801861800655033e-005,5.740006e-001
3.805768050655033e-005,5.746206e-001
3.809674300655033e-005,5.752179e-001
3.813580550655033e-005,5.753160e-001
3.817486800655033e-005,5.651731e-001
3.818749822865533e-005,5.443069e-001
3.819319743542243e-005,5.219615e-001
3.819880370548282e-005,4.931537e-001
3.820582756326413e-005,4.593843e-001
3.821093354678323e-005,4.394911e-001
3.821151792693924e-005,4.378215e-001
3.821268668725126e-005,4.354011e-001
3.821502420787531e-005,4.314847e-001
3.821560858803132e-005,4.307675e-001
3.821677734834334e-005,4.298768e-001
3.821911486896739e-005,4.287651e-001
3.821969924912340e-005,4.286386e-001
3.821984534416240e-005,4.286307e-001
3.822013753424041e-005,4.286205e-001
3.822021058175991e-005,4.286192e-001
3.822035667679891e-005,4.286186e-001
3.822039320055866e-005,4.286187e-001
3.822046624807817e-005,4.286190e-001
3.822061234311717e-005,4.286199e-001
3.822090453319518e-005,4.286220e-001
3.822148891335119e-005,4.286270e-001
3.822265767366321e-005,4.286384e-001
3.822499519428725e-005,4.286638e-001
3.822967023553535e-005,4.287196e-001
3.823902031803154e-005,4.288414e-001
3.825772048302391e-005,4.291050e-001
3.829512081300865e-005,4.296669e-001
3.833418331300865e-005,4.302825e-001
3.837324581300865e-005,4.309207e-001
3.845137081300864e-005,4.322423e-001
3.856855831300864e-005,4.342966e-001
3.868574581300863e-005,4.364226e-001
3.880293331300863e-005,4.385729e-001
3.892012081300863e-005,4.407476e-001
3.903730831300862e-005,4.429466e-001
3.915449581300862e-005,4.451700e-001
3.927168331300861e-005,4.474177e-001
3.938887081300861e-005,4.496897e-001
3.997480831300858e-005,4.611525e-001
4.000000000000000e-005,4.616496e-001
