second,Volt
-208.0000E-06,-66.8342039E-03
-207.7500E-06,-36.6834505E-03
-207.5000E-06,-46.7337016E-03
-207.2500E-06,-26.6331993E-03
-207.0000E-06,-26.6331993E-03
-206.7500E-06,-36.6834505E-03
-206.5000E-06,-46.7337016E-03
-206.2500E-06,-26.6331993E-03
-206.0000E-06,-26.6331993E-03
-205.7500E-06,-26.6331993E-03
-205.5000E-06,-66.8342039E-03
-205.2500E-06,-36.6834505E-03
-205.0000E-06,-26.6331993E-03
-204.7500E-06,-26.6331993E-03
-204.5000E-06,-26.6331993E-03
-204.2500E-06,-26.6331993E-03
-204.0000E-06,-26.6331993E-03
-203.7500E-06,-66.8342039E-03
-203.5000E-06,-46.7337016E-03
-203.2500E-06,-56.7839528E-03
-203.0000E-06,-26.6331993E-03
-202.7500E-06,-26.6331993E-03
-202.5000E-06,-26.6331993E-03
-202.2500E-06,-36.6834505E-03
-202.0000E-06,-66.8342039E-03
-201.7500E-06,-66.8342039E-03
-201.5000E-06,-26.6331993E-03
-201.2500E-06,-36.6834505E-03
-201.0000E-06,-26.6331993E-03
-200.7500E-06,-26.6331993E-03
-200.5000E-06,-66.8342039E-03
-200.2500E-06,-26.6331993E-03
-200.0000E-06,-26.6331993E-03
-199.7500E-06,-26.6331993E-03
-199.5000E-06,-26.6331993E-03
-199.2500E-06,-26.6331993E-03
-199.0000E-06,-26.6331993E-03
-198.7500E-06,-26.6331993E-03
-198.5000E-06,-46.7337016E-03
-198.2500E-06,-26.6331993E-03
-198.0000E-06,-66.8342039E-03
-197.7500E-06,-56.7839527E-03
-197.5000E-06,-46.7337016E-03
-197.2500E-06,-26.6331993E-03
-197.0000E-06,-26.6331993E-03
-196.7500E-06,-36.6834505E-03
-196.5000E-06,-46.7337016E-03
-196.2500E-06,-26.6331993E-03
-196.0000E-06,-26.6331993E-03
-195.7500E-06,-26.6331993E-03
-195.5000E-06,-26.6331993E-03
-195.2500E-06,-36.6834504E-03
-195.0000E-06,-66.8342039E-03
-194.7500E-06,-36.6834505E-03
-194.5000E-06,-26.6331993E-03
-194.2500E-06,-66.8342039E-03
-194.0000E-06,-66.8342039E-03
-193.7500E-06,-56.7839527E-03
-193.5000E-06,-46.7337016E-03
-193.2500E-06,-26.6331993E-03
-193.0000E-06,-26.6331993E-03
-192.7500E-06,-26.6331993E-03
-192.5000E-06,-46.7337016E-03
-192.2500E-06,-56.7839528E-03
-192.0000E-06,-26.6331993E-03
-191.7500E-06,-56.7839527E-03
-191.5000E-06,-46.7337016E-03
-191.2500E-06,-26.6331993E-03
-191.0000E-06,-26.6331993E-03
-190.7500E-06,-26.6331993E-03
-190.5000E-06,-46.7337016E-03
-190.2500E-06,-66.8342039E-03
-190.0000E-06,-66.8342039E-03
-189.7500E-06,-36.6834505E-03
-189.5000E-06,-66.8342039E-03
-189.2500E-06,-66.8342039E-03
-189.0000E-06,-26.6331993E-03
-188.7500E-06,-26.6331993E-03
-188.5000E-06,-46.7337016E-03
-188.2500E-06,-36.6834504E-03
-188.0000E-06,-26.6331993E-03
-187.7500E-06,-26.6331993E-03
-187.5000E-06,-46.7337016E-03
-187.2500E-06,-26.6331993E-03
-187.0000E-06,-26.6331993E-03
-186.7500E-06,-66.8342039E-03
-186.5000E-06,-26.6331993E-03
-186.2500E-06,-26.6331993E-03
-186.0000E-06,-26.6331993E-03
-185.7500E-06,-56.7839527E-03
-185.5000E-06,-26.6331993E-03
-185.2500E-06,-36.6834504E-03
-185.0000E-06,-26.6331993E-03
-184.7500E-06,-36.6834505E-03
-184.5000E-06,-26.6331993E-03
-184.2500E-06,-26.6331993E-03
-184.0000E-06,-66.8342039E-03
-183.7500E-06,-66.8342039E-03
-183.5000E-06,-26.6331993E-03
-183.2500E-06,-56.7839528E-03
-183.0000E-06,-26.6331993E-03
-182.7500E-06,-26.6331993E-03
-182.5000E-06,-26.6331993E-03
-182.2500E-06,-26.6331993E-03
-182.0000E-06,-26.6331993E-03
-181.7500E-06,+13.5678053E-03
-181.5000E-06,+33.6683076E-03
-181.2500E-06,+53.7688099E-03
-181.0000E-06,+93.9698145E-03
-180.7500E-06,+104.0200656E-03
-180.5000E-06,+174.3718237E-03
-180.2500E-06,+244.7235817E-03
-180.0000E-06,+294.9748375E-03
-179.7500E-06,+325.1255909E-03
-179.5000E-06,+375.3768466E-03
-179.2500E-06,+415.5778512E-03
-179.0000E-06,+495.9798604E-03
-178.7500E-06,+536.1808650E-03
-178.5000E-06,+576.3818696E-03
-178.2500E-06,+656.7838788E-03
-178.0000E-06,+737.1858880E-03
-177.7500E-06,+747.2361391E-03
-177.5000E-06,+777.3868926E-03
-177.2500E-06,+857.7889018E-03
-177.0000E-06,+897.9899064E-03
-176.7500E-06,+978.3919156E-03
-176.5000E-06,+1.0185929202E+00
-176.2500E-06,+1.0587939247E+00
-176.0000E-06,+1.0989949293E+00
-175.7500E-06,+1.1492461851E+00
-175.5000E-06,+1.1994974408E+00
-175.2500E-06,+1.2899497012E+00
-175.0000E-06,+1.2999999523E+00
-174.7500E-06,+1.3402009569E+00
-174.5000E-06,+1.4206029661E+00
-174.2500E-06,+1.4708542218E+00
-174.0000E-06,+1.5412059799E+00
-173.7500E-06,+1.5914572356E+00
-173.5000E-06,+1.6417084914E+00
-173.2500E-06,+1.6718592448E+00
-173.0000E-06,+1.7422110029E+00
-172.7500E-06,+1.8125627609E+00
-172.5000E-06,+1.8628140166E+00
-172.2500E-06,+1.9030150212E+00
-172.0000E-06,+1.9432160258E+00
-171.7500E-06,+1.9834170304E+00
-171.5000E-06,+2.0638190396E+00
-171.2500E-06,+2.1040200442E+00
-171.0000E-06,+2.1844220534E+00
-170.7500E-06,+2.2246230580E+00
-170.5000E-06,+2.2648240626E+00
-170.2500E-06,+2.3050250672E+00
-170.0000E-06,+2.3452260718E+00
-169.7500E-06,+2.4256280810E+00
-169.5000E-06,+2.4658290856E+00
-169.2500E-06,+2.5060300902E+00
-169.0000E-06,+2.5864320993E+00
-168.7500E-06,+2.6266331039E+00
-168.5000E-06,+2.6668341085E+00
-168.2500E-06,+2.7170853643E+00
-168.0000E-06,+2.7472361177E+00
-167.7500E-06,+2.7974873735E+00
-167.5000E-06,+2.8678391315E+00
-167.2500E-06,+2.9080401361E+00
-167.0000E-06,+2.9482411407E+00
-166.7500E-06,+2.9884421453E+00
-166.5000E-06,+3.0286431499E+00
-166.2500E-06,+3.0788944056E+00
-166.0000E-06,+3.1090451591E+00
-165.7500E-06,+3.1592964148E+00
-165.5000E-06,+3.2095476706E+00
-165.2500E-06,+3.2597989263E+00
-165.0000E-06,+3.3100501820E+00
-164.7500E-06,+3.3502511866E+00
-164.5000E-06,+3.3703516889E+00
-164.2500E-06,+3.4306531958E+00
-164.0000E-06,+3.4306531958E+00
-163.7500E-06,+3.4407034470E+00
-163.5000E-06,+3.4708542004E+00
-163.2500E-06,+3.4809044516E+00
-163.0000E-06,+3.5110552050E+00
-162.7500E-06,+3.5211054562E+00
-162.5000E-06,+3.5512562096E+00
-162.2500E-06,+3.5512562096E+00
-162.0000E-06,+3.5914572142E+00
-161.7500E-06,+3.5512562096E+00
-161.5000E-06,+3.5512562096E+00
-161.2500E-06,+3.5914572142E+00
-161.0000E-06,+3.5914572142E+00
-160.7500E-06,+3.5914572142E+00
-160.5000E-06,+3.5914572142E+00
-160.2500E-06,+3.5914572142E+00
-160.0000E-06,+3.5914572142E+00
-159.7500E-06,+3.6216079676E+00
-159.5000E-06,+3.6115577165E+00
-159.2500E-06,+3.6015074653E+00
-159.0000E-06,+3.6316582188E+00
-158.7500E-06,+3.5914572142E+00
-158.5000E-06,+3.5914572142E+00
-158.2500E-06,+3.6316582188E+00
-158.0000E-06,+3.6316582188E+00
-157.7500E-06,+3.6316582188E+00
-157.5000E-06,+3.6115577165E+00
-157.2500E-06,+3.6316582188E+00
-157.0000E-06,+3.6316582188E+00
-156.7500E-06,+3.6316582188E+00
-156.5000E-06,+3.6517587211E+00
-156.2500E-06,+3.6316582188E+00
-156.0000E-06,+3.6316582188E+00
-155.7500E-06,+3.6316582188E+00
-155.5000E-06,+3.6316582188E+00
-155.2500E-06,+3.6618089723E+00
-155.0000E-06,+3.6316582188E+00
-154.7500E-06,+3.6718592234E+00
-154.5000E-06,+3.6316582188E+00
-154.2500E-06,+3.6618089723E+00
-154.0000E-06,+3.6316582188E+00
-153.7500E-06,+3.6316582188E+00
-153.5000E-06,+3.6517587211E+00
-153.2500E-06,+3.6316582188E+00
-153.0000E-06,+3.6718592234E+00
-152.7500E-06,+3.6718592234E+00
-152.5000E-06,+3.6517587211E+00
-152.2500E-06,+3.6718592234E+00
-152.0000E-06,+3.6718592234E+00
-151.7500E-06,+3.6718592234E+00
-151.5000E-06,+3.6517587211E+00
-151.2500E-06,+3.6718592234E+00
-151.0000E-06,+3.6718592234E+00
-150.7500E-06,+3.6718592234E+00
-150.5000E-06,+3.6718592234E+00
-150.2500E-06,+3.6718592234E+00
-150.0000E-06,+3.6718592234E+00
-149.7500E-06,+3.6718592234E+00
-149.5000E-06,+3.6718592234E+00
-149.2500E-06,+3.6316582188E+00
-149.0000E-06,+3.6718592234E+00
-148.7500E-06,+3.6718592234E+00
-148.5000E-06,+3.6718592234E+00
-148.2500E-06,+3.6618089723E+00
-148.0000E-06,+3.6718592234E+00
-147.7500E-06,+3.6316582188E+00
-147.5000E-06,+3.6718592234E+00
-147.2500E-06,+3.6718592234E+00
-147.0000E-06,+3.6718592234E+00
-146.7500E-06,+3.6718592234E+00
-146.5000E-06,+3.6718592234E+00
-146.2500E-06,+3.6718592234E+00
-146.0000E-06,+3.6718592234E+00
-145.7500E-06,+3.6718592234E+00
-145.5000E-06,+3.6718592234E+00
-145.2500E-06,+3.6718592234E+00
-145.0000E-06,+3.6718592234E+00
-144.7500E-06,+3.6718592234E+00
-144.5000E-06,+3.6718592234E+00
-144.2500E-06,+3.6718592234E+00
-144.0000E-06,+3.6718592234E+00
-143.7500E-06,+3.6718592234E+00
-143.5000E-06,+3.6517587211E+00
-143.2500E-06,+3.6718592234E+00
-143.0000E-06,+3.6316582188E+00
-142.7500E-06,+3.6718592234E+00
-142.5000E-06,+3.6718592234E+00
-142.2500E-06,+3.6718592234E+00
-142.0000E-06,+3.6718592234E+00
-141.7500E-06,+3.6718592234E+00
-141.5000E-06,+3.6919597257E+00
-141.2500E-06,+3.6718592234E+00
-141.0000E-06,+3.6718592234E+00
-140.7500E-06,+3.6718592234E+00
-140.5000E-06,+3.6718592234E+00
-140.2500E-06,+3.6316582188E+00
-140.0000E-06,+3.6316582188E+00
-139.7500E-06,+3.6718592234E+00
-139.5000E-06,+3.6718592234E+00
-139.2500E-06,+3.6718592234E+00
-139.0000E-06,+3.6718592234E+00
-138.7500E-06,+3.6718592234E+00
-138.5000E-06,+3.6718592234E+00
-138.2500E-06,+3.6718592234E+00
-138.0000E-06,+3.6718592234E+00
-137.7500E-06,+3.6718592234E+00
-137.5000E-06,+3.6718592234E+00
-137.2500E-06,+3.7020099769E+00
-137.0000E-06,+3.6718592234E+00
-136.7500E-06,+3.7020099768E+00
-136.5000E-06,+3.6718592234E+00
-136.2500E-06,+3.6718592234E+00
-136.0000E-06,+3.6718592234E+00
-135.7500E-06,+3.6718592234E+00
-135.5000E-06,+3.6718592234E+00
-135.2500E-06,+3.6718592234E+00
-135.0000E-06,+3.6718592234E+00
-134.7500E-06,+3.6718592234E+00
-134.5000E-06,+3.6919597257E+00
-134.2500E-06,+3.6718592234E+00
-134.0000E-06,+3.6718592234E+00
-133.7500E-06,+3.7020099768E+00
-133.5000E-06,+3.6718592234E+00
-133.2500E-06,+3.6718592234E+00
-133.0000E-06,+3.6718592234E+00
-132.7500E-06,+3.6718592234E+00
-132.5000E-06,+3.6718592234E+00
-132.2500E-06,+3.6718592234E+00
-132.0000E-06,+3.6718592234E+00
-131.7500E-06,+3.6718592234E+00
-131.5000E-06,+3.6718592234E+00
-131.2500E-06,+3.6718592234E+00
-131.0000E-06,+3.6718592234E+00
-130.7500E-06,+3.6718592234E+00
-130.5000E-06,+3.6718592234E+00
-130.2500E-06,+3.7120602280E+00
