second,Volt,Volt
-20.80000E-09,+3.76924636261538E+00,+3.71489434223621E+00
-20.72188E-09,+3.76924636261538E+00,+3.72494459338485E+00
-20.64375E-09,+3.76924636261538E+00,+3.73499484453349E+00
-20.56563E-09,+3.77306545805186E+00,+3.74504509568213E+00
-20.48750E-09,+3.77427148818970E+00,+3.75509534683078E+00
-20.40938E-09,+3.77427148818970E+00,+3.76132650254294E+00
-20.33125E-09,+3.77809058362618E+00,+3.76635162811726E+00
-20.25313E-09,+3.77547751832754E+00,+3.76755765825510E+00
-20.17500E-09,+3.77045239275322E+00,+3.77137675369158E+00
-20.09688E-09,+3.76924636261538E+00,+3.77258278382942E+00
-20.01875E-09,+3.76160817174242E+00,+3.76876368839294E+00
-19.94063E-09,+3.75537701603026E+00,+3.76755765825510E+00
-19.86250E-09,+3.74653279501946E+00,+3.76755765825510E+00
-19.78438E-09,+3.73266344843434E+00,+3.76755765825510E+00
-19.70625E-09,+3.72140716714786E+00,+3.76755765825510E+00
-19.62813E-09,+3.71135691599921E+00,+3.76755765825510E+00
-19.55000E-09,+3.70130666485057E+00,+3.76755765825510E+00
-19.47188E-09,+3.69125641370193E+00,+3.76373856281862E+00
-19.39375E-09,+3.68502525798977E+00,+3.75489434180782E+00
-19.31563E-09,+3.68000013241545E+00,+3.74866318609566E+00
-19.23750E-09,+3.67497500684113E+00,+3.73981896508486E+00
-19.15938E-09,+3.67376897670329E+00,+3.72976871393622E+00
-19.08125E-09,+3.67758807213976E+00,+3.71971846278758E+00
-19.00313E-09,+3.67879410227761E+00,+3.70584911620246E+00
-18.92500E-09,+3.68643229315056E+00,+3.69459283491598E+00
-18.84688E-09,+3.69266344886273E+00,+3.68454258376734E+00
-18.76875E-09,+3.70150766987352E+00,+3.67831142805517E+00
-18.69063E-09,+3.71155792102217E+00,+3.66946720704437E+00
-18.61250E-09,+3.72542726760728E+00,+3.66705514676869E+00
-18.53438E-09,+3.73668354889377E+00,+3.66705514676869E+00
-18.45625E-09,+3.74673380004241E+00,+3.66705514676869E+00
-18.37813E-09,+3.75678405119105E+00,+3.67469333764164E+00
-18.30000E-09,+3.76301520690321E+00,+3.68092449335381E+00
-18.22188E-09,+3.76804033247753E+00,+3.68976871436461E+00
-18.14375E-09,+3.77306545805186E+00,+3.69981896551325E+00
-18.06563E-09,+3.77809058362617E+00,+3.70986921666189E+00
-17.98750E-09,+3.77547751832754E+00,+3.71991946781053E+00
-17.90938E-09,+3.77427148818970E+00,+3.72615062352269E+00
-17.83125E-09,+3.77427148818970E+00,+3.73499484453349E+00
-17.75313E-09,+3.77045239275322E+00,+3.73740690480918E+00
-17.67500E-09,+3.76924636261538E+00,+3.74504509568213E+00
-17.59688E-09,+3.76924636261538E+00,+3.75509534683077E+00
-17.51875E-09,+3.76924636261538E+00,+3.76132650254294E+00
-17.44063E-09,+3.76924636261538E+00,+3.77017072355373E+00
-17.36250E-09,+3.76924636261538E+00,+3.77640187926590E+00
-17.28438E-09,+3.76924636261538E+00,+3.78524610027670E+00
-17.20625E-09,+3.76924636261538E+00,+3.79911544686181E+00
-17.12813E-09,+3.76924636261538E+00,+3.81037172814830E+00
-17.05000E-09,+3.77306545805185E+00,+3.81660288386046E+00
-16.97188E-09,+3.77427148818970E+00,+3.82926620030774E+00
-16.89375E-09,+3.77427148818970E+00,+3.84052248159422E+00
-16.81563E-09,+3.77427148818970E+00,+3.84675363730639E+00
-16.73750E-09,+3.77427148818970E+00,+3.84795966744423E+00
-16.65938E-09,+3.77427148818970E+00,+3.84795966744423E+00
-16.58125E-09,+3.77045239275322E+00,+3.84414057200775E+00
-16.50313E-09,+3.76924636261538E+00,+3.83529635099696E+00
-16.42500E-09,+3.76924636261538E+00,+3.82524609984831E+00
-16.34688E-09,+3.76924636261538E+00,+3.81519584869967E+00
-16.26875E-09,+3.76924636261538E+00,+3.80132650211456E+00
-16.19063E-09,+3.76924636261538E+00,+3.79007022082807E+00
-16.11250E-09,+3.76924636261538E+00,+3.77620087424295E+00
-16.03438E-09,+3.76924636261538E+00,+3.76494459295647E+00
-15.95625E-09,+3.76924636261538E+00,+3.75871343724430E+00
-15.87813E-09,+3.77306545805185E+00,+3.74605012079703E+00
-15.80000E-09,+3.77427148818970E+00,+3.73861293494702E+00
-15.72188E-09,+3.77809058362617E+00,+3.72976871393622E+00
-15.64375E-09,+3.77929661376402E+00,+3.72353755822406E+00
-15.56563E-09,+3.77929661376402E+00,+3.72233152808622E+00
-15.48750E-09,+3.77547751832754E+00,+3.72233152808622E+00
-15.40938E-09,+3.77427148818970E+00,+3.72233152808622E+00
-15.33125E-09,+3.76663329731675E+00,+3.72233152808622E+00
-15.25313E-09,+3.76040214160458E+00,+3.72233152808622E+00
-15.17500E-09,+3.75155792059378E+00,+3.72233152808622E+00
-15.09688E-09,+3.74150766944514E+00,+3.72615062352269E+00
-15.01875E-09,+3.73145741829650E+00,+3.72735665366054E+00
-14.94063E-09,+3.72522626258434E+00,+3.72353755822406E+00
-14.86250E-09,+3.71638204157354E+00,+3.72233152808622E+00
-14.78438E-09,+3.71396998129785E+00,+3.72233152808622E+00
-14.70625E-09,+3.71396998129785E+00,+3.71851243264974E+00
-14.62813E-09,+3.71778907673433E+00,+3.71730640251189E+00
-14.55000E-09,+3.72281420230865E+00,+3.71730640251189E+00
-14.47188E-09,+3.73165842331944E+00,+3.71730640251189E+00
-14.39375E-09,+3.74170867446808E+00,+3.72112549794837E+00
-14.31563E-09,+3.75557802105320E+00,+3.72615062352269E+00
-14.23750E-09,+3.76683430233969E+00,+3.73117574909701E+00
-14.15938E-09,+3.77688455348833E+00,+3.73620087467133E+00
-14.08125E-09,+3.78311570920049E+00,+3.74504509568213E+00
-14.00313E-09,+3.78432173933834E+00,+3.75127625139429E+00
