second,Volt,Volt
+1.46869853438E+00,-40.20100459E-03,+3.29648237675E+00
+1.46869861250E+00,-40.20100459E-03,+3.29648237675E+00
+1.46869869063E+00,-40.20100459E-03,+3.29648237675E+00
+1.46869876875E+00,-40.20100459E-03,+3.29648237675E+00
+1.46869884688E+00,-40.20100459E-03,+3.29648237675E+00
+1.46869892500E+00,-40.20100459E-03,+3.29648237675E+00
+1.46869900313E+00,-40.20100459E-03,+3.29648237675E+00
+1.46869908125E+00,-40.20100459E-03,+3.29648237675E+00
+1.46869915938E+00,-40.20100459E-03,+3.29648237675E+00
+1.46869923750E+00,-40.20100459E-03,+3.29648237675E+00
+1.46869931563E+00,-40.20100459E-03,+3.29648237675E+00
+1.46869939375E+00,-40.20100459E-03,+3.29648237675E+00
+1.46869947188E+00,-40.20100459E-03,+3.29648237675E+00
+1.46869955000E+00,-40.20100459E-03,+3.29648237675E+00
+1.46869962813E+00,-40.20100459E-03,+3.29648237675E+00
+1.46869970625E+00,-40.20100459E-03,+3.29648237675E+00
+1.46869978438E+00,-40.20100459E-03,+3.29648237675E+00
+1.46869986250E+00,-40.20100459E-03,+3.29648237675E+00
+1.46869994063E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870001875E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870009688E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870017500E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870025313E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870033125E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870040938E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870048750E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870056563E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870064375E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870072188E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870080000E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870087813E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870095625E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870103438E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870111250E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870119063E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870126875E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870134688E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870142500E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870150313E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870158125E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870165938E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870173750E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870181563E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870189375E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870197188E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870205000E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870212813E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870220625E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870228438E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870236250E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870244063E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870251875E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870259688E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870267500E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870275313E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870283125E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870290938E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870298750E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870306563E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870314375E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870322188E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870330000E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870337813E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870345625E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870353438E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870361250E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870369063E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870376875E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870384688E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870392500E+00,-40.20100459E-03,+3.29648237675E+00
+1.46870400313E+00,-40.20100459E-03,+3.29587936156E+00
+1.46870408125E+00,-40.20100459E-03,+3.29336679877E+00
+1.46870415938E+00,-40.20100459E-03,+3.29085423598E+00
+1.46870423750E+00,-40.20100459E-03,+3.28894468839E+00
+1.46870431563E+00,-40.20100459E-03,+3.28834167319E+00
+1.46870439375E+00,-40.20100459E-03,+3.28643212561E+00
+1.46870447188E+00,-40.20100459E-03,+3.28582911040E+00
+1.46870455000E+00,-40.20100459E-03,+3.28331654761E+00
+1.46870462813E+00,-40.20100459E-03,+3.28140700003E+00
+1.46870470625E+00,-40.20100459E-03,+3.28080398483E+00
+1.46870478438E+00,-40.20100459E-03,+3.27829142204E+00
+1.46870486250E+00,-40.20100459E-03,+3.27638187446E+00
+1.46870494063E+00,-40.20100459E-03,+3.27577885925E+00
+1.46870501875E+00,-40.20100459E-03,+3.27386931167E+00
+1.46870509688E+00,-40.20100459E-03,+3.27326629646E+00
+1.46870517500E+00,-40.20100459E-03,+3.27075373367E+00
+1.46870525313E+00,-40.20100459E-03,+3.26884418610E+00
+1.46870533125E+00,-40.20100459E-03,+3.26824117088E+00
+1.46870540938E+00,-40.20100459E-03,+3.26572860810E+00
+1.46870548750E+00,-40.20100459E-03,+3.26381906052E+00
+1.46870556563E+00,-40.20100459E-03,+3.26321604531E+00
+1.46870564375E+00,-40.20100459E-03,+3.26130649773E+00
+1.46870572188E+00,-40.20100459E-03,+3.26070348252E+00
+1.46870580000E+00,-40.20100459E-03,+3.25819091973E+00
+1.46870587813E+00,-40.20100459E-03,+3.25628137216E+00
+1.46870595625E+00,-40.20100459E-03,+3.25628137216E+00
+1.46870603438E+00,-40.20100459E-03,+3.25688438738E+00
+1.46870611250E+00,-40.20100459E-03,+3.25879393495E+00
+1.46870619063E+00,-40.20100459E-03,+3.25939695017E+00
+1.46870626875E+00,-40.20100459E-03,+3.26130649773E+00
+1.46870634688E+00,-40.20100459E-03,+3.26190951296E+00
+1.46870642500E+00,-40.20100459E-03,+3.26442207574E+00
+1.46870650313E+00,-40.20100459E-03,+3.26633162331E+00
+1.46870658125E+00,-40.20100459E-03,+3.26693463853E+00
+1.46870665938E+00,-40.20100459E-03,+3.26944720132E+00
+1.46870673750E+00,-40.20100459E-03,+3.27135674888E+00
+1.46870681563E+00,-40.20100459E-03,+3.27195976411E+00
+1.46870689375E+00,-40.20100459E-03,+3.27386931167E+00
+1.46870697188E+00,-40.20100459E-03,+3.27447232690E+00
+1.46870705000E+00,-40.20100459E-03,+3.27698488969E+00
+1.46870712813E+00,-40.20100459E-03,+3.27889443724E+00
+1.46870720625E+00,-40.20100459E-03,+3.27949745248E+00
+1.46870728438E+00,-40.20100459E-03,+3.28201001526E+00
+1.46870736250E+00,-40.20100459E-03,+3.28391956282E+00
+1.46870744063E+00,-40.20100459E-03,+3.28452257805E+00
+1.46870751875E+00,-40.20100459E-03,+3.28643212561E+00
+1.46870759688E+00,-40.20100459E-03,+3.28703514084E+00
+1.46870767500E+00,-40.20100459E-03,+3.28954770363E+00
+1.46870775313E+00,-40.20100459E-03,+3.29145725118E+00
+1.46870783125E+00,-40.20100459E-03,+3.29206026642E+00
+1.46870790938E+00,-40.20100459E-03,+3.29457282921E+00
+1.46870798750E+00,-6.43215121E-03,+3.29648237675E+00
+1.46870806563E+00,+131.25628872E-03,+3.29648237675E+00
+1.46870814375E+00,+259.39699090E-03,+3.29648237675E+00
+1.46870822188E+00,+387.53769309E-03,+3.29648237675E+00
+1.46870830000E+00,+516.28141052E-03,+3.29648237675E+00
+1.46870837813E+00,+646.33166025E-03,+3.29648237675E+00
+1.46870845625E+00,+774.47236243E-03,+3.29648237675E+00
+1.46870853438E+00,+902.61306462E-03,+3.29648237675E+00
+1.46870861250E+00,+1.03135678205E+00,+3.29648237675E+00
+1.46870869063E+00,+1.16140703178E+00,+3.29648237675E+00
+1.46870876875E+00,+1.28954773396E+00,+3.29648237675E+00
+1.46870884688E+00,+1.41768843615E+00,+3.29648237675E+00
+1.46870892500E+00,+1.54643215358E+00,+3.29648237675E+00
+1.46870900313E+00,+1.67648240331E+00,+3.29648237675E+00
+1.46870908125E+00,+1.80462310549E+00,+3.29648237675E+00
+1.46870915938E+00,+1.93276380768E+00,+3.29648237675E+00
+1.46870923750E+00,+2.06150752512E+00,+3.29648237675E+00
+1.46870931563E+00,+2.19155777484E+00,+3.29648237675E+00
+1.46870939375E+00,+2.31969847702E+00,+3.29648237675E+00
+1.46870947188E+00,+2.44783917921E+00,+3.29648237675E+00
+1.46870955000E+00,+2.57658289665E+00,+3.29648237675E+00
+1.46870962813E+00,+2.70663314637E+00,+3.29648237675E+00
+1.46870970625E+00,+2.83477384856E+00,+3.29648237675E+00
+1.46870978438E+00,+2.96291455074E+00,+3.29648237675E+00
+1.46870986250E+00,+3.09165826819E+00,+3.29648237675E+00
+1.46870994063E+00,+3.20663313643E+00,+3.29648237675E+00
+1.46871001875E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871009688E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871017500E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871025313E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871033125E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871040938E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871048750E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871056563E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871064375E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871072188E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871080000E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871087813E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871095625E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871103438E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871111250E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871119063E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871126875E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871134688E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871142500E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871150313E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871158125E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871165938E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871173750E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871181563E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871189375E+00,+3.25628137216E+00,+3.29648237675E+00
+1.46871197188E+00,+3.25628137216E+00,+3.26814065861E+00
+1.46871205000E+00,+3.25688438744E+00,+3.14703513117E+00
+1.46871212813E+00,+3.25879393495E+00,+3.01638186620E+00
+1.46871220625E+00,+3.25939695023E+00,+2.88633161651E+00
+1.46871228438E+00,+3.26190951302E+00,+2.75758789904E+00
+1.46871236250E+00,+3.26381906052E+00,+2.62693463406E+00
+1.46871244063E+00,+3.26442207581E+00,+2.49628136909E+00
+1.46871251875E+00,+3.26633162331E+00,+2.36562810412E+00
+1.46871259688E+00,+3.26693463859E+00,+2.23497483914E+00
+1.46871267500E+00,+3.26944720138E+00,+2.10432157417E+00
+1.46871275313E+00,+3.27135674888E+00,+1.97366830920E+00
+1.46871283125E+00,+3.27195976417E+00,+1.84361805951E+00
+1.46871290938E+00,+3.27447232696E+00,+1.71487434204E+00
+1.46871298750E+00,+3.27638187446E+00,+1.58422107706E+00
+1.46871306563E+00,+3.27698488975E+00,+1.45356781209E+00
+1.46871314375E+00,+3.27889443724E+00,+1.32291454711E+00
+1.46871322188E+00,+3.27949745254E+00,+1.19226128214E+00
+1.46871330000E+00,+3.28201001532E+00,+1.06160801717E+00
+1.46871337813E+00,+3.28391956282E+00,+930.95475219E-03
+1.46871345625E+00,+3.28452257811E+00,+800.90450251E-03
+1.46871353438E+00,+3.28703514090E+00,+672.16078503E-03
+1.46871361250E+00,+3.28894468839E+00,+541.50752006E-03
+1.46871369063E+00,+3.28954770369E+00,+410.85425508E-03
+1.46871376875E+00,+3.29145725118E+00,+280.20099011E-03
+1.46871384688E+00,+3.29206026648E+00,+149.54772514E-03
+1.46871392500E+00,+3.29457282927E+00,+28.54270496E-03
+1.46871400313E+00,+3.29587936145E+00,-40.20100459E-03
+1.46871408125E+00,+3.29336679867E+00,-40.20100459E-03
+1.46871415938E+00,+3.29085423588E+00,-40.20100459E-03
+1.46871423750E+00,+3.28894468839E+00,-40.20100459E-03
+1.46871431563E+00,+3.28834167309E+00,-40.20100459E-03
+1.46871439375E+00,+3.28643212561E+00,-40.20100459E-03
+1.46871447188E+00,+3.28582911030E+00,-40.20100459E-03
+1.46871455000E+00,+3.28331654751E+00,-40.20100459E-03
+1.46871462813E+00,+3.28140700003E+00,-40.20100459E-03
+1.46871470625E+00,+3.28080398472E+00,-40.20100459E-03
+1.46871478438E+00,+3.27829142194E+00,-40.20100459E-03
+1.46871486250E+00,+3.27638187446E+00,-40.20100459E-03
+1.46871494063E+00,+3.27577885915E+00,-40.20100459E-03
+1.46871501875E+00,+3.27386931167E+00,-40.20100459E-03
+1.46871509688E+00,+3.27326629636E+00,-40.20100459E-03
+1.46871517500E+00,+3.27075373357E+00,-40.20100459E-03
+1.46871525313E+00,+3.26884418610E+00,-40.20100459E-03
+1.46871533125E+00,+3.26824117078E+00,-40.20100459E-03
+1.46871540938E+00,+3.26572860799E+00,-40.20100459E-03
+1.46871548750E+00,+3.26381906052E+00,-40.20100459E-03
+1.46871556563E+00,+3.26321604520E+00,-40.20100459E-03
+1.46871564375E+00,+3.26130649773E+00,-40.20100459E-03
+1.46871572188E+00,+3.26070348242E+00,-40.20100459E-03
+1.46871580000E+00,+3.25819091963E+00,-40.20100459E-03
+1.46871587813E+00,+3.25628137216E+00,-40.20100459E-03
+1.46871595625E+00,+3.25628137216E+00,-40.20100459E-03
+1.46871603438E+00,+3.25688438748E+00,-40.20100459E-03
+1.46871611250E+00,+3.25879393495E+00,-40.20100459E-03
+1.46871619063E+00,+3.25939695027E+00,-40.20100459E-03
+1.46871626875E+00,+3.26130649773E+00,-40.20100459E-03
+1.46871634688E+00,+3.26190951306E+00,-40.20100459E-03
+1.46871642500E+00,+3.26442207585E+00,-40.20100459E-03
+1.46871650313E+00,+3.26633162331E+00,-40.20100459E-03
+1.46871658125E+00,+3.26693463864E+00,-40.20100459E-03
+1.46871665938E+00,+3.26944720142E+00,-40.20100459E-03
+1.46871673750E+00,+3.27135674888E+00,-40.20100459E-03
+1.46871681563E+00,+3.27195976421E+00,-40.20100459E-03
+1.46871689375E+00,+3.27386931167E+00,-40.20100459E-03
+1.46871697188E+00,+3.27447232700E+00,-40.20100459E-03
+1.46871705000E+00,+3.27698488979E+00,-40.20100459E-03
+1.46871712813E+00,+3.27889443724E+00,-40.20100459E-03
+1.46871720625E+00,+3.27949745258E+00,-40.20100459E-03
+1.46871728438E+00,+3.28201001537E+00,-40.20100459E-03
+1.46871736250E+00,+3.28391956282E+00,-40.20100459E-03
+1.46871744063E+00,+3.28452257815E+00,-40.20100459E-03
+1.46871751875E+00,+3.28643212561E+00,-40.20100459E-03
+1.46871759688E+00,+3.28703514094E+00,-40.20100459E-03
+1.46871767500E+00,+3.28954770373E+00,-40.20100459E-03
+1.46871775313E+00,+3.29145725118E+00,-40.20100459E-03
+1.46871783125E+00,+3.29206026652E+00,-40.20100459E-03
+1.46871790938E+00,+3.29457282931E+00,-40.20100459E-03
+1.46871798750E+00,+3.29226126937E+00,-40.20100459E-03
+1.46871806563E+00,+3.27587936053E+00,-40.20100459E-03
+1.46871814375E+00,+3.26271353125E+00,-40.20100459E-03
+1.46871822188E+00,+3.24763815452E+00,-40.20100459E-03
+1.46871830000E+00,+3.23316579314E+00,-40.20100459E-03
+1.46871837813E+00,+3.21999996386E+00,-40.20100459E-03
+1.46871845625E+00,+3.20552760247E+00,-40.20100459E-03
+1.46871853438E+00,+3.19236177319E+00,-40.20100459E-03
+1.46871861250E+00,+3.17728639646E+00,-40.20100459E-03
+1.46871869063E+00,+3.16281403508E+00,-40.20100459E-03
+1.46871876875E+00,+3.14964820579E+00,-40.20100459E-03
+1.46871884688E+00,+3.13457282906E+00,-40.20100459E-03
+1.46871892500E+00,+3.12010046769E+00,-40.20100459E-03
+1.46871900313E+00,+3.10693463840E+00,-40.20100459E-03
+1.46871908125E+00,+3.09246227702E+00,-40.20100459E-03
+1.46871915938E+00,+3.07929644773E+00,-40.20100459E-03
+1.46871923750E+00,+3.06422107100E+00,-40.20100459E-03
+1.46871931563E+00,+3.04974870963E+00,-40.20100459E-03
+1.46871939375E+00,+3.03658288033E+00,-40.20100459E-03
+1.46871947188E+00,+3.02150750360E+00,-40.20100459E-03
+1.46871955000E+00,+3.00703514223E+00,-40.20100459E-03
+1.46871962813E+00,+2.99386931294E+00,-40.20100459E-03
+1.46871970625E+00,+2.97939695157E+00,-40.20100459E-03
+1.46871978438E+00,+2.96623112227E+00,-40.20100459E-03
+1.46871986250E+00,+2.95115574554E+00,-40.20100459E-03
+1.46871994063E+00,+2.93849243026E+00,-40.20100459E-03
+1.46872001875E+00,+2.92442207425E+00,-40.20100459E-03
+1.46872009688E+00,+2.88472358367E+00,-40.20100459E-03
+1.46872017500E+00,+2.85517584558E+00,-40.20100459E-03
+1.46872025313E+00,+2.82753765491E+00,-40.20100459E-03
+1.46872033125E+00,+2.79989946424E+00,-40.20100459E-03
+1.46872040938E+00,+2.77165825821E+00,-40.20100459E-03
+1.46872048750E+00,+2.74211052012E+00,-40.20100459E-03
+1.46872056563E+00,+2.71447232945E+00,-40.20100459E-03
+1.46872064375E+00,+2.68683413879E+00,-40.20100459E-03
+1.46872072188E+00,+2.65859293275E+00,-40.20100459E-03
+1.46872080000E+00,+2.62904519466E+00,-40.20100459E-03
+1.46872087813E+00,+2.60140700400E+00,-40.20100459E-03
+1.46872095625E+00,+2.57376881333E+00,-40.20100459E-03
+1.46872103438E+00,+2.54552760729E+00,-40.20100459E-03
+1.46872111250E+00,+2.51597986921E+00,-40.20100459E-03
+1.46872119063E+00,+2.48834167854E+00,-40.20100459E-03
+1.46872126875E+00,+2.46070348787E+00,-40.20100459E-03
+1.46872134688E+00,+2.43246228183E+00,-40.20100459E-03
+1.46872142500E+00,+2.40291454375E+00,-40.20100459E-03
+1.46872150313E+00,+2.37527635308E+00,-40.20100459E-03
+1.46872158125E+00,+2.34763816241E+00,-40.20100459E-03
+1.46872165938E+00,+2.31939695637E+00,-40.20100459E-03
+1.46872173750E+00,+2.28984921829E+00,-40.20100459E-03
+1.46872181563E+00,+2.26221102762E+00,-40.20100459E-03
+1.46872189375E+00,+2.23396982158E+00,-40.20100459E-03
+1.46872197188E+00,+2.21889445266E+00,-40.20100459E-03
+1.46872205000E+00,+2.25336681506E+00,-40.20100459E-03
+1.46872212813E+00,+2.29356781966E+00,-40.20100459E-03
+1.46872220625E+00,+2.33316580889E+00,-40.20100459E-03
+1.46872228438E+00,+2.37145726609E+00,-40.20100459E-03
+1.46872236250E+00,+2.41165827070E+00,-40.20100459E-03
+1.46872244063E+00,+2.45125625992E+00,-40.20100459E-03
+1.46872251875E+00,+2.48954771712E+00,-40.20100459E-03
+1.46872259688E+00,+2.52914570634E+00,-40.20100459E-03
+1.46872267500E+00,+2.56743716355E+00,-40.20100459E-03
+1.46872275313E+00,+2.60763816816E+00,-40.20100459E-03
+1.46872283125E+00,+2.64723615738E+00,-40.20100459E-03
+1.46872290938E+00,+2.68552761459E+00,-40.20100459E-03
+1.46872298750E+00,+2.72572861919E+00,-40.20100459E-03
+1.46872306563E+00,+2.76532660841E+00,-40.20100459E-03
+1.46872314375E+00,+2.80361806562E+00,-40.20100459E-03
+1.46872322188E+00,+2.84321605483E+00,-40.20100459E-03
+1.46872330000E+00,+2.88150751205E+00,-40.20100459E-03
+1.46872337813E+00,+2.92170851666E+00,-40.20100459E-03
+1.46872345625E+00,+2.96130650587E+00,-40.20100459E-03
+1.46872353438E+00,+2.99959796308E+00,-40.20100459E-03
+1.46872361250E+00,+3.03979896769E+00,-40.20100459E-03
+1.46872369063E+00,+3.07939695690E+00,-40.20100459E-03
+1.46872376875E+00,+3.11768841412E+00,-40.20100459E-03
+1.46872384688E+00,+3.15728640333E+00,-40.20100459E-03
+1.46872392500E+00,+3.19316579894E+00,-40.20100459E-03
+1.46872400313E+00,+3.21608036757E+00,-40.20100459E-03
+1.46872408125E+00,+3.21668338297E+00,-40.20100459E-03
+1.46872415938E+00,+3.21919594576E+00,-40.20100459E-03
+1.46872423750E+00,+3.22110549314E+00,-40.20100459E-03
+1.46872431563E+00,+3.22170850855E+00,-40.20100459E-03
+1.46872439375E+00,+3.22361805593E+00,-40.20100459E-03
+1.46872447188E+00,+3.22422107133E+00,-40.20100459E-03
+1.46872455000E+00,+3.22673363412E+00,-40.20100459E-03
+1.46872462813E+00,+3.22864318150E+00,-40.20100459E-03
