time,I(I1)
2.366210937499998e-005,5.000000e-001
2.405273437499998e-005,5.000000e-001
2.444335937499997e-005,5.000000e-001
2.483398437499997e-005,5.000000e-001
2.522460937499997e-005,5.000000e-001
2.561523437499997e-005,5.000000e-001
2.600585937499996e-005,5.000000e-001
2.639648437499996e-005,5.000000e-001
2.667550223214282e-005,5.000000e-001
2.695452008928567e-005,5.000000e-001
2.723353794642853e-005,5.000000e-001
2.751255580357138e-005,5.000000e-001
2.779157366071424e-005,5.000000e-001
2.807059151785709e-005,5.000000e-001
2.834960937499995e-005,5.000000e-001
2.864257812499995e-005,5.000000e-001
2.883789062499995e-005,5.000000e-001
2.893554687499995e-005,5.000000e-001
2.903320312499995e-005,5.000000e-001
2.913085937499995e-005,5.000000e-001
2.921554592694896e-005,5.000000e-001
2.924128630877847e-005,5.000000e-001
2.924163055403004e-005,5.000000e-001
2.924231904453318e-005,5.000000e-001
2.924369602553946e-005,5.000000e-001
2.924644998755202e-005,5.000000e-001
2.925195791157714e-005,5.000000e-001
2.925719342587680e-005,5.000000e-001
2.925793493479737e-005,5.000000e-001
2.925941795263852e-005,5.000000e-001
2.926238398832081e-005,5.000000e-001
2.926312549724138e-005,5.000000e-001
2.926331087447153e-005,5.000000e-001
2.926368162893181e-005,5.000000e-001
2.926377431754688e-005,5.000000e-001
2.926395969477702e-005,5.000000e-001
2.926433044923731e-005,5.000000e-001
2.926442313785238e-005,5.000000e-001
2.926460851508252e-005,5.000000e-001
2.926465485939006e-005,5.000000e-001
2.926474754800513e-005,5.000000e-001
2.926493292523527e-005,5.000000e-001
2.926530367969556e-005,5.000000e-001
2.926604518861613e-005,5.000000e-001
2.926752820645728e-005,5.000000e-001
2.927049424213957e-005,5.000000e-001
2.927642631350415e-005,5.000000e-001
2.928829045623332e-005,5.000000e-001
2.931201874169165e-005,5.000000e-001
2.935947531260831e-005,5.000000e-001
2.945438845444163e-005,5.000000e-001
2.955204470444163e-005,5.000000e-001
2.964970095444163e-005,5.000000e-001
2.984501345444163e-005,5.000000e-001
3.013798220444163e-005,5.000000e-001
3.044490184729878e-005,5.000000e-001
3.075182149015593e-005,5.000000e-001
3.105874113301307e-005,5.000000e-001
3.136566077587023e-005,5.000000e-001
3.167258041872737e-005,5.000000e-001
3.197950006158453e-005,5.000000e-001
3.228641970444167e-005,5.000000e-001
3.246778131158454e-005,5.000000e-001
3.264914291872740e-005,5.000000e-001
3.283050452587026e-005,5.000000e-001
3.301186613301312e-005,5.000000e-001
3.319322774015598e-005,5.000000e-001
3.337458934729885e-005,5.000000e-001
3.355595095444171e-005,5.000000e-001
3.379311613301315e-005,5.000000e-001
3.403028131158458e-005,5.000000e-001
3.426744649015601e-005,5.000000e-001
3.450461166872746e-005,5.000000e-001
3.474177684729889e-005,5.000000e-001
3.497894202587032e-005,5.000000e-001
3.521610720444176e-005,5.000000e-001
3.538351791872748e-005,5.000000e-001
3.555092863301320e-005,5.000000e-001
3.571833934729892e-005,5.000000e-001
3.588575006158463e-005,5.000000e-001
3.605316077587036e-005,5.000000e-001
3.622057149015607e-005,5.000000e-001
3.638798220444179e-005,5.000000e-001
3.658329470444180e-005,5.000000e-001
3.668095095444180e-005,5.000000e-001
3.677860720444180e-005,5.000000e-001
3.687626345444181e-005,5.000000e-001
3.690893452939679e-005,5.000000e-001
3.692513630602580e-005,5.000000e-001
3.693140850573545e-005,5.000000e-001
3.694128949334490e-005,5.000000e-001
3.694796286274744e-005,5.000000e-001
3.694884828087443e-005,5.000000e-001
3.695061911712840e-005,5.000000e-001
3.695416078963635e-005,5.000000e-001
3.695504620776333e-005,5.000000e-001
3.695526756229508e-005,5.000000e-001
3.695571027135857e-005,5.000000e-001
3.695582094862444e-005,5.000000e-001
3.695604230315619e-005,5.000000e-001
3.695648501221968e-005,5.000000e-001
3.695659568948556e-005,5.000000e-001
3.695681704401730e-005,5.000000e-001
3.695725975308079e-005,5.000000e-001
3.695814517120778e-005,5.000000e-001
3.695991600746175e-005,5.000000e-001
3.696345767996969e-005,5.000000e-001
3.697054102498558e-005,5.000000e-001
3.698470771501735e-005,5.000000e-001
3.701304109508089e-005,5.000000e-001
3.706970785520797e-005,5.000000e-001
3.716736410520797e-005,5.000000e-001
3.726502035520797e-005,5.000000e-001
3.736267660520798e-005,5.000000e-001
3.755798910520798e-005,5.000000e-001
3.785095785520799e-005,5.000000e-001
3.807417214092228e-005,5.000000e-001
3.829738642663658e-005,5.000000e-001
3.852060071235087e-005,5.000000e-001
3.874381499806516e-005,5.000000e-001
3.896702928377945e-005,5.000000e-001
3.919024356949375e-005,5.000000e-001
3.941345785520804e-005,5.000000e-001
3.960877035520804e-005,5.000000e-001
3.990173910520805e-005,5.000000e-001
4.009705160520806e-005,5.000000e-001
