time,I(I1)
9.765624723809263e-013,2.441406e-008
1.915439737483560e-010,4.788600e-006
3.821113850243311e-010,9.552785e-006
5.726787963003063e-010,1.431697e-005
7.632462075762813e-010,1.908116e-005
9.538136188522563e-010,2.384534e-005
1.144381030128232e-009,2.860953e-005
1.334948441404206e-009,3.337371e-005
1.663839855092471e-009,4.159599e-005
2.075814880510812e-009,5.189537e-005
2.588496723825426e-009,6.471242e-005
3.230500042915656e-009,8.076250e-005
4.032073442328366e-009,1.008018e-004
5.038146179679680e-009,1.259537e-004
6.301881743966733e-009,1.575470e-004
7.901314230341668e-009,1.975328e-004
9.943347073385939e-009,2.485837e-004
1.260716253192300e-008,3.151791e-004
1.624685983951866e-008,4.061715e-004
2.199551254441980e-008,5.498878e-004
3.030091661526673e-008,7.575229e-004
3.950431127691877e-008,9.876078e-004
5.122568328413725e-008,1.280642e-003
6.749509835854021e-008,1.687377e-003
9.269076192554495e-008,2.317269e-003
1.305042991337310e-007,3.262607e-003
1.892257551495222e-007,4.730644e-003
2.786196928016597e-007,6.965492e-003
3.762759428016596e-007,9.406898e-003
4.739321928016596e-007,1.184830e-002
5.715884428016597e-007,1.428971e-002
7.669009428016598e-007,1.917252e-002
9.622134428016599e-007,2.405534e-002
1.255182192801660e-006,3.137955e-002
1.534200049944517e-006,3.835500e-002
1.813217907087374e-006,4.533045e-002
2.092235764230231e-006,5.230589e-002
2.371253621373088e-006,5.928134e-002
2.650271478515945e-006,6.625679e-002
2.929289335658802e-006,7.323224e-002
3.208307192801658e-006,8.020768e-002
3.836097371373088e-006,9.590243e-002
4.463887549944518e-006,1.115972e-001
5.091677728515948e-006,1.272919e-001
5.719467907087378e-006,1.429867e-001
6.347258085658808e-006,1.586814e-001
6.975048264230239e-006,1.743762e-001
7.602838442801667e-006,1.900710e-001
8.942124157087374e-006,2.235531e-001
1.028140987137308e-005,2.570352e-001
1.162069558565879e-005,2.905174e-001
1.295998129994449e-005,3.239995e-001
1.429926701423020e-005,3.574817e-001
1.563855272851591e-005,3.909638e-001
1.697783844280161e-005,4.244460e-001
2.000000000000000e-005,5.000000e-001
2.050920758928571e-005,5.000000e-001
2.101841517857143e-005,5.000000e-001
2.152762276785714e-005,5.000000e-001
2.203683035714285e-005,5.000000e-001
2.254603794642856e-005,5.000000e-001
2.305524553571427e-005,5.000000e-001
2.356445312499998e-005,5.000000e-001
